#cameras 128
#name,x,y,z,omega,phi,kappa
ghazanchecoc gmbet skizb 043.jpg,3.501375168875484,-3.662522322748897,18.56511074801486,88.95225848149268,65.29573389609753,-89.5269209434976
ghazanchecoc gmbet skizb 044.jpg,4.651522456103304,-2.706282631771367,18.51625355621999,88.05001888452591,70.49360557345098,-88.55994401523097
ghazanchecoc gmbet skizb 045.jpg,5.750202126115204,-1.701505374281619,18.49158355593073,86.96941571120006,76.05139766631891,-87.44092405377941
ghazanchecoc gmbet skizb 046.jpg,6.814980434782284,-0.6178279210448359,18.46288938317901,85.0779512658508,80.94017138891221,-85.55717567556441
ghazanchecoc gmbet skizb 047.jpg,7.78609580734643,0.4329478689265571,18.46194421987429,85.11952872217843,84.67346056695691,-85.66887319474985
ghazanchecoc gmbet skizb 003.jpg,-31.17310900861634,-17.88639065885687,20.25191452284571,88.97362062833746,24.04887215006414,-88.89407615026677
ghazanchecoc gmbet skizb 004.jpg,-31.14244909740951,-17.87226376283756,20.24434199251507,88.94209032996248,24.07226790512457,-88.80714899564164
ghazanchecoc gmbet skizb 005.jpg,-31.01455722783462,-17.82426585095685,20.24017688196468,88.9386918733701,24.10761880069846,-88.82151574887546
ghazanchecoc gmbet skizb 006.jpg,-30.79227792334831,-17.73914409846814,20.23426402478728,88.94290508732834,24.14147209708945,-88.81903187185762
ghazanchecoc gmbet skizb 007.jpg,-30.48234504977306,-17.63056021159886,20.22469216239324,88.93798748990594,24.1908576126497,-88.82627039175279
ghazanchecoc gmbet skizb 008.jpg,-30.10126898894711,-17.50140849592952,20.2086222454276,88.95091368607849,24.24379150385293,-88.84222810966548
ghazanchecoc gmbet skizb 009.jpg,-29.64194548251163,-17.3449466979341,20.18555209341747,88.96205227276406,24.28300732084638,-88.87243896083713
ghazanchecoc gmbet skizb 010.jpg,-29.10559230467205,-17.16531283752472,20.16436533545567,88.96794948859619,24.31564101259963,-88.89800309978483
ghazanchecoc gmbet skizb 011.jpg,-28.50809082372858,-16.96860742251315,20.14344088447344,88.97972029038199,24.32313681898668,-88.93607768613225
ghazanchecoc gmbet skizb 012.jpg,-27.85176467197687,-16.75523278676481,20.12722723997656,88.97307927872664,24.33939313327988,-88.93794741290411
ghazanchecoc gmbet skizb 013.jpg,-27.14871664589876,-16.5284937103727,20.11402724671351,88.99347762108172,24.37925895444578,-88.97357220421836
ghazanchecoc skizb 09.jpg,-4.969064908877571,-21.01609719186413,12.64046292152122,52.16848362565261,83.19899774995994,-51.75952175422179
ghazanchecoc skizb 10.jpg,-4.955879649763124,-21.03827244193723,13.79846604780652,52.26782504095261,83.2148257638525,-51.87613209506846
ghazanchecoc skizb 11.jpg,-4.941577398180309,-21.06276084263259,14.89151699149533,52.65002332063425,83.30339539249621,-52.28234134965555
ghazanchecoc skizb 12.jpg,-4.926107557261723,-21.06329843788372,16.01142294334121,51.96954208987835,83.30227871821859,-51.61477103460197
ghazanchecoc skizb 13.jpg,-4.910101290931442,-21.04867247950485,17.31521988243475,51.95254760696354,83.18954146335719,-51.59616071135023
ghazanchecoc skizb 14.jpg,-4.921420900014844,-21.07145310478749,18.82067240869614,53.11112818214773,82.86335102711939,-52.7761826929134
ghazanchecoc skizb 15.jpg,-4.896124017008521,-21.05947359351297,20.28880092702921,53.19863809921725,82.3804180223042,-52.88616983623901
